Review date,Guest name,Reservation Number,Review title,Positive review,Negative review,Review score,Staff,Cleanliness,Location,Facilities,Comfort,Value for money,Property reply
2022-03-06 0:25:02,Grant,2487605521,,,,10,10,10,10,10,10,10,
2022-03-29 14:13:17,Keith,2254010771,A great property with very welcoming host,"Amjed, the property manager, personally met us on arrival and enthusiastically showed us around and made us feel at home.  Very spacious and modern facilities.  Easy walking distance to river and restaurants in Inverness.  On site parking and good Wifi.",Nothing,10,10,10,10,10,10,10,"Dear Keith, thanks for your great feedback. It was a delight to see you both and we are really happy that everything was to your satisfaction. We are very proud of the achievements at Rosedene and what makes us even more proud is receiving and hosting wonderful guests like you! We look forward to seeing you again soon. All the very best from all at Rosedene Highland House.    "
2022-03-30 15:09:07,Jacqueline,2683436060,,,,9,10,10,10,10,10,10,
2022-03-31 8:18:40,Gaynor,2821951016,,,The bed was a little too firm for my preference.,9,10,10,10,10,10,10,"Dear Gaynor, we hope you are well and enjoyed your tour of Inverness and the Highlands. We are just getting an opportunity to say a massive thanks to you both for staying at Rosedene and also for leaving us a wonderful review. It was great to meet you and although you had a short stay it was wonderful to see you both. We hope that you will return again soon. All the very best from all at Rosedene. "
2022-04-03 7:01:16,다은,3643893777,awesome!,"nice staff, such a clean room, every facilities :)",nothing at all,9,10,10,10,10,10,7.5,
2022-04-03 21:06:38,다은,3794786333,,,,9,0,0,0,0,0,0,
2022-04-03 22:30:07,Michelle,3324915730,,Amazing service we upgraded the room and it was well worth it. Would definitely recommend to friends and will be booking again,,10,10,10,10,10,10,10,"Dear Michelle, thank you for your kind review. We are so glad that you enjoyed your stay and it was an absolute pleasure to see you both. We look forward to welcoming you back soon and will take care of your friends and family also. All the best from all at Rosedene Highland House. "
2022-04-04 18:44:57,JOSE LUIS,3775128540,Great!,"Localization (very close the center), kindness of the owner and room quality ","maybe, they were carrying out improvement works and the stairs were not clean",9,10,10,10,10,7.5,7.5,
2022-04-09 14:50:41,Scott,2336225926,,really well presented and owner was very friendly,,10,10,10,10,10,10,10,
2022-04-11 15:51:05,Sarina Martina,2192755199,,,,10,10,10,7.5,10,10,10,
